sample_code	norm_Bacteria_pairs	country	type	serial
100117001	4164289	NL	Pooled pig feces	1
100117002	3501496	NL	Pooled pig feces	2
100117003	4283526	NL	Pooled pig feces	3
100317001	4525464	NL	Pooled pig feces	1
100418001	21654314	NL	Pooled poultry feces	1
100517001	3250508	NL	Pooled pig feces	1
100717001	3857467	NL	Pooled pig feces	1
100818001	27853905	NL	Pooled poultry feces	1
101018001	25203582	NL	Pooled poultry feces	1
101117001	6101267	NL	Pooled pig feces	1
101218001	26720081	NL	Pooled poultry feces	1
101418001	26272947	NL	Pooled poultry feces	1
101517001	2542246	NL	Pooled pig feces	1
101618001	27482450	NL	Pooled poultry feces	1
101717001	4915554	NL	Pooled pig feces	1
101818001	25243630	NL	Pooled poultry feces	1
101917001	5313903	NL	Pooled pig feces	1
102018001	29064041	NL	Pooled poultry feces	1
102117001	5942828	NL	Pooled pig feces	1
102218001	27419676	NL	Pooled poultry feces	1
102317001	6007948	NL	Pooled pig feces	1
102418001	31391313	NL	Pooled poultry feces	1
102517001	5633544	NL	Pooled pig feces	1
102618001	28169016	NL	Pooled poultry feces	1
102717001	5985603	NL	Pooled pig feces	1
102818001	33217876	NL	Pooled poultry feces	1
102917001	3643960	NL	Pooled pig feces	1
103018001	16826185	NL	Pooled poultry feces	1
103117001	6176175	NL	Pooled pig feces	1
103218001	19449821	NL	Pooled poultry feces	1
103317001	5451260	NL	Pooled pig feces	1
103418001	22791267	NL	Pooled poultry feces	1
103517001	4533491	NL	Pooled pig feces	1
103618001	16106702	NL	Pooled poultry feces	1
103717001	7398664	NL	Pooled pig feces	1
103818001	27068199	NL	Pooled poultry feces	1
103917001	3793521	NL	Pooled pig feces	1
104117001	5876843	NL	Pooled pig feces	1
104218001	15297372	NL	Pooled poultry feces	1
104317001	2880579	NL	Pooled pig feces	1
104418001	19476062	NL	Pooled poultry feces	1
104618001	26630932	NL	Pooled poultry feces	1
200117001	4607415	DE	Pooled pig feces	1
200217001	4825869	DE	Pooled pig feces	1
200317001	3747927	DE	Pooled pig feces	1
200417001	13511843	DE	Pooled pig feces	1
200517001	3966446	DE	Pooled pig feces	1
200617001	11849449	DE	Pooled pig feces	1
200717001	8388549	DE	Pooled pig feces	1
200817001	6007688	DE	Pooled pig feces	1
200917001	16612625	DE	Pooled pig feces	1
201017001	8916481	DE	Pooled pig feces	1
201117001	6400312	DE	Pooled pig feces	1
201217001	4201371	DE	Pooled pig feces	1
201317001	1508159	DE	Pooled pig feces	1
201417001	10495323	DE	Pooled pig feces	1
201517001	3172453	DE	Pooled pig feces	1
201617001	240171	DE	Pooled pig feces	1
201717001	2618269	DE	Pooled pig feces	1
201817001	5865825	DE	Pooled pig feces	1
201917001	4153167	DE	Pooled pig feces	1
202017001	2938730	DE	Pooled pig feces	1
206118001	25867129	DE	Pooled poultry feces	1
206217001	35918939	DE	Pooled pig feces	1
206318001	18419372	DE	Pooled poultry feces	1
206418001	36061852	DE	Pooled poultry feces	1
206518001	20142728	DE	Pooled poultry feces	1
206618001	27458813	DE	Pooled poultry feces	1
206718001	31995299	DE	Pooled poultry feces	1
206818001	45175858	DE	Pooled poultry feces	1
206918001	26631566	DE	Pooled poultry feces	1
207018001	20925991	DE	Pooled poultry feces	1
207118001	20961365	DE	Pooled poultry feces	1
207218003	23361211	DE	Pooled poultry feces	3
207318001	25070244	DE	Pooled poultry feces	1
207418001	20424627	DE	Pooled poultry feces	1
207518001	33956933	DE	Pooled poultry feces	1
207618001	79828	DE	Pooled poultry feces	1
207718001	25068644	DE	Pooled poultry feces	1
207818001	28153558	DE	Pooled poultry feces	1
207918001	24876662	DE	Pooled poultry feces	1
208018001	23625991	DE	Pooled poultry feces	1
320117001	3747977	FR	Pooled pig feces	1
320217001	3523633	FR	Pooled pig feces	1
320317001	3293752	FR	Pooled pig feces	1
320417001	5214146	FR	Pooled pig feces	1
320517001	1032811	FR	Pooled pig feces	1
320617001	3955001	FR	Pooled pig feces	1
320717001	3034228	FR	Pooled pig feces	1
320817001	5137967	FR	Pooled pig feces	1
320917002	2677054	FR	Pooled pig feces	2
321017001	6238956	FR	Pooled pig feces	1
321117001	1820211	FR	Pooled pig feces	1
321217001	3877107	FR	Pooled pig feces	1
321317001	4156828	FR	Pooled pig feces	1
321417001	1847419	FR	Pooled pig feces	1
321517001	2126483	FR	Pooled pig feces	1
321617001	5027217	FR	Pooled pig feces	1
321717001	4527319	FR	Pooled pig feces	1
321817001	2861604	FR	Pooled pig feces	1
321917001	5463366	FR	Pooled pig feces	1
322017001	4649305	FR	Pooled pig feces	1
330118001	34602904	FR	Pooled poultry feces	1
330218001	37385193	FR	Pooled poultry feces	1
330318001	31592416	FR	Pooled poultry feces	1
330418001	25891360	FR	Pooled poultry feces	1
330518001	25810365	FR	Pooled poultry feces	1
330618001	32954782	FR	Pooled poultry feces	1
330718001	28860113	FR	Pooled poultry feces	1
330818002	29532412	FR	Pooled poultry feces	2
330918001	28401900	FR	Pooled poultry feces	1
331018001	29241781	FR	Pooled poultry feces	1
331118001	25928565	FR	Pooled poultry feces	1
331218001	18151178	FR	Pooled poultry feces	1
331318001	23852719	FR	Pooled poultry feces	1
331418001	35361267	FR	Pooled poultry feces	1
331518001	27909447	FR	Pooled poultry feces	1
331618001	20652661	FR	Pooled poultry feces	1
331718001	13077616	FR	Pooled poultry feces	1
331818001	40652590	FR	Pooled poultry feces	1
331918001	17161909	FR	Pooled poultry feces	1
332018001	18267382	FR	Pooled poultry feces	1
400117001	8747023	ES	Pooled pig feces	1
400217001	5711935	ES	Pooled pig feces	1
400318001	23915338	ES	Pooled poultry feces	1
400418001	38697908	ES	Pooled poultry feces	1
400518001	25431675	ES	Pooled poultry feces	1
400618001	33789882	ES	Pooled poultry feces	1
400717001	5833165	ES	Pooled pig feces	1
400818001	24119881	ES	Pooled poultry feces	1
400918001	30804617	ES	Pooled poultry feces	1
401018001	22750669	ES	Pooled poultry feces	1
401118001	26310347	ES	Pooled poultry feces	1
401218001	27052635	ES	Pooled poultry feces	1
401417001	5588990	ES	Pooled pig feces	1
401518001	28333447	ES	Pooled poultry feces	1
401618001	34272360	ES	Pooled poultry feces	1
401718001	20441658	ES	Pooled poultry feces	1
401818001	25077492	ES	Pooled poultry feces	1
401918001	33333249	ES	Pooled poultry feces	1
402018001	16843140	ES	Pooled poultry feces	1
402118001	37300238	ES	Pooled poultry feces	1
402218001	39876316	ES	Pooled poultry feces	1
402317001	3731080	ES	Pooled pig feces	1
402417001	7017344	ES	Pooled pig feces	1
402517001	6956108	ES	Pooled pig feces	1
402617001	7917661	ES	Pooled pig feces	1
402718001	33033222	ES	Pooled poultry feces	1
402817001	5123288	ES	Pooled pig feces	1
402917001	5005330	ES	Pooled pig feces	1
403017001	5534248	ES	Pooled pig feces	1
403117001	7215986	ES	Pooled pig feces	1
403217001	5191686	ES	Pooled pig feces	1
403317001	6140805	ES	Pooled pig feces	1
403417001	6218162	ES	Pooled pig feces	1
403517001	5598767	ES	Pooled pig feces	1
403617001	6310611	ES	Pooled pig feces	1
403717001	8632363	ES	Pooled pig feces	1
403817001	8145915	ES	Pooled pig feces	1
403917001	4811869	ES	Pooled pig feces	1
404018001	33701426	ES	Pooled poultry feces	1
404118001	29663284	ES	Pooled poultry feces	1
500117001	3378577	BE	Pooled pig feces	1
500117002	3303335	BE	Pooled pig feces	2
500117003	3605867	BE	Pooled pig feces	3
500318001	28764203	BE	Pooled poultry feces	1
500417001	2091152	BE	Pooled pig feces	1
500518001	29354891	BE	Pooled poultry feces	1
500618001	29244766	BE	Pooled poultry feces	1
500717001	3241668	BE	Pooled pig feces	1
500817001	5370896	BE	Pooled pig feces	1
500918001	23877085	BE	Pooled poultry feces	1
501018001	24660702	BE	Pooled poultry feces	1
501117001	4096086	BE	Pooled pig feces	1
501217001	5980203	BE	Pooled pig feces	1
501318001	28886299	BE	Pooled poultry feces	1
501418001	21281383	BE	Pooled poultry feces	1
501517001	3800524	BE	Pooled pig feces	1
501618001	27186588	BE	Pooled poultry feces	1
501718001	25829540	BE	Pooled poultry feces	1
501818001	29863061	BE	Pooled poultry feces	1
501917001	5948017	BE	Pooled pig feces	1
502018001	29570744	BE	Pooled poultry feces	1
502118001	27914946	BE	Pooled poultry feces	1
502218001	32526910	BE	Pooled poultry feces	1
502318001	27404583	BE	Pooled poultry feces	1
502418001	31793287	BE	Pooled poultry feces	1
502517001	2643448	BE	Pooled pig feces	1
502617001	5599612	BE	Pooled pig feces	1
502717001	6643204	BE	Pooled pig feces	1
502817001	5003724	BE	Pooled pig feces	1
502917001	1920613	BE	Pooled pig feces	1
503018001	23257932	BE	Pooled poultry feces	1
503117001	5919266	BE	Pooled pig feces	1
503217001	6200912	BE	Pooled pig feces	1
503318001	28031724	BE	Pooled poultry feces	1
503418001	31892152	BE	Pooled poultry feces	1
503517001	2135778	BE	Pooled pig feces	1
503617001	3485006	BE	Pooled pig feces	1
503717001	2322752	BE	Pooled pig feces	1
503818001	24695661	BE	Pooled poultry feces	1
503918001	16246744	BE	Pooled poultry feces	1
504017001	1498065	BE	Pooled pig feces	1
504117001	2213572	BE	Pooled pig feces	1
600117001	5425281	IT	Pooled pig feces	1
600218001	24241307	IT	Pooled poultry feces	1
600417001	2035386	IT	Pooled pig feces	1
600517001	3236100	IT	Pooled pig feces	1
600617001	5750172	IT	Pooled pig feces	1
600717001	3251848	IT	Pooled pig feces	1
600817001	3049254	IT	Pooled pig feces	1
600917001	4100075	IT	Pooled pig feces	1
601017001	4428247	IT	Pooled pig feces	1
601117001	2172820	IT	Pooled pig feces	1
601217001	3820333	IT	Pooled pig feces	1
601317001	3699256	IT	Pooled pig feces	1
601417001	4559971	IT	Pooled pig feces	1
601517001	4500024	IT	Pooled pig feces	1
601617001	7683712	IT	Pooled pig feces	1
601717001	4701744	IT	Pooled pig feces	1
601817001	3996592	IT	Pooled pig feces	1
601917001	5800758	IT	Pooled pig feces	1
602017001	3592728	IT	Pooled pig feces	1
602117001	4081414	IT	Pooled pig feces	1
602217001	4424368	IT	Pooled pig feces	1
602318001	24327823	IT	Pooled poultry feces	1
602418001	26899773	IT	Pooled poultry feces	1
602518001	13704032	IT	Pooled poultry feces	1
602618001	24531902	IT	Pooled poultry feces	1
602718001	19476223	IT	Pooled poultry feces	1
602818001	23203098	IT	Pooled poultry feces	1
602918001	19190984	IT	Pooled poultry feces	1
603018001	13054359	IT	Pooled poultry feces	1
603118001	21147733	IT	Pooled poultry feces	1
603218001	28191170	IT	Pooled poultry feces	1
603318001	23516191	IT	Pooled poultry feces	1
603418001	19829902	IT	Pooled poultry feces	1
603518001	20158562	IT	Pooled poultry feces	1
603618001	18278534	IT	Pooled poultry feces	1
603718001	18978225	IT	Pooled poultry feces	1
603818001	22866737	IT	Pooled poultry feces	1
603918001	21096963	IT	Pooled poultry feces	1
604018001	25198915	IT	Pooled poultry feces	1
604118001	33401140	IT	Pooled poultry feces	1
701217001	5643859	PL	Pooled pig feces	1
701317001	5566629	PL	Pooled pig feces	1
701417001	5315556	PL	Pooled pig feces	1
701517001	7376997	PL	Pooled pig feces	1
701617001	5681543	PL	Pooled pig feces	1
701717001	6624737	PL	Pooled pig feces	1
701817001	7423108	PL	Pooled pig feces	1
701917001	6428756	PL	Pooled pig feces	1
702017001	10091343	PL	Pooled pig feces	1
710218001	29357539	PL	Pooled poultry feces	1
710318001	25492109	PL	Pooled poultry feces	1
710518001	17281660	PL	Pooled poultry feces	1
710618001	36464336	PL	Pooled poultry feces	1
710818001	33293802	PL	Pooled poultry feces	1
710918001	62094184	PL	Pooled poultry feces	1
711018001	37633355	PL	Pooled poultry feces	1
711118001	24147650	PL	Pooled poultry feces	1
711718001	32330513	PL	Pooled poultry feces	1
712018001	28698297	PL	Pooled poultry feces	1
800118001	24789275	DK	Pooled poultry feces	1
800217001	4431598	DK	Pooled pig feces	1
800318001	18692778	DK	Pooled poultry feces	1
800417001	5447489	DK	Pooled pig feces	1
800518001	23763903	DK	Pooled poultry feces	1
800617001	3110339	DK	Pooled pig feces	1
800718001	29230488	DK	Pooled poultry feces	1
800817001	4505283	DK	Pooled pig feces	1
800918001	26359353	DK	Pooled poultry feces	1
801017001	10003494	DK	Pooled pig feces	1
801118001	24131086	DK	Pooled poultry feces	1
801217001	6417768	DK	Pooled pig feces	1
801318001	30994177	DK	Pooled poultry feces	1
801417001	7570233	DK	Pooled pig feces	1
801518001	24724147	DK	Pooled poultry feces	1
801617001	3007134	DK	Pooled pig feces	1
801718001	27567264	DK	Pooled poultry feces	1
801817001	5416470	DK	Pooled pig feces	1
801918001	36007350	DK	Pooled poultry feces	1
802017001	2284686	DK	Pooled pig feces	1
802118001	18516697	DK	Pooled poultry feces	1
802217001	5295212	DK	Pooled pig feces	1
802318001	25717943	DK	Pooled poultry feces	1
802417001	3323636	DK	Pooled pig feces	1
802518001	33275406	DK	Pooled poultry feces	1
802617001	5658337	DK	Pooled pig feces	1
802718001	28902889	DK	Pooled poultry feces	1
802817001	6337238	DK	Pooled pig feces	1
802918001	20845904	DK	Pooled poultry feces	1
803017001	11027584	DK	Pooled pig feces	1
803118001	22791580	DK	Pooled poultry feces	1
803217001	6630003	DK	Pooled pig feces	1
803318001	15719387	DK	Pooled poultry feces	1
803417001	4927184	DK	Pooled pig feces	1
803518001	26005947	DK	Pooled poultry feces	1
803617001	5610505	DK	Pooled pig feces	1
803718001	16439804	DK	Pooled poultry feces	1
803817001	6749073	DK	Pooled pig feces	1
803918001	32168071	DK	Pooled poultry feces	1
804017001	6817762	DK	Pooled pig feces	1
900117001	4344704	BG	Pooled pig feces	1
900118001	8309851	BG	Pooled poultry feces	1
900217001	9194360	BG	Pooled pig feces	1
900317001	5755805	BG	Pooled pig feces	1
900518001	20202620	BG	Pooled poultry feces	1
900617001	3100188	BG	Pooled pig feces	1
900618002	40897633	BG	Pooled poultry feces	2
900718001	18319816	BG	Pooled poultry feces	1
900818001	21749972	BG	Pooled poultry feces	1
900918001	25774587	BG	Pooled poultry feces	1
901018001	37476817	BG	Pooled poultry feces	1
901118001	29213695	BG	Pooled poultry feces	1
901217001	2247247	BG	Pooled pig feces	1
901317001	2738509	BG	Pooled pig feces	1
901417001	3790121	BG	Pooled pig feces	1
901517001	5127953	BG	Pooled pig feces	1
901617001	5811277	BG	Pooled pig feces	1
901717001	4650582	BG	Pooled pig feces	1
901817001	5646157	BG	Pooled pig feces	1
901917001	4439012	BG	Pooled pig feces	1
902017001	5895836	BG	Pooled pig feces	1
902117001	4315526	BG	Pooled pig feces	1
902217001	13203377	BG	Pooled pig feces	1
902317001	2189011	BG	Pooled pig feces	1
902417001	4366939	BG	Pooled pig feces	1
902518001	25443829	BG	Pooled poultry feces	1
902618001	29957344	BG	Pooled poultry feces	1
902717001	2818216	BG	Pooled pig feces	1
902817001	1363033	BG	Pooled pig feces	1
902917001	2394635	BG	Pooled pig feces	1
903017001	741622	BG	Pooled pig feces	1
903118001	29943140	BG	Pooled poultry feces	1
903218001	24824607	BG	Pooled poultry feces	1
903318001	18661779	BG	Pooled poultry feces	1
903418001	14060229	BG	Pooled poultry feces	1
903518001	25089646	BG	Pooled poultry feces	1
903618001	16451485	BG	Pooled poultry feces	1
903718001	19971970	BG	Pooled poultry feces	1
903818001	22858275	BG	Pooled poultry feces	1
903918008	24580653	BG	Pooled poultry feces	8
904018001	22525582	BG	Pooled poultry feces	1
